category,title,rounds,reps,movement,weight,description,length,example
power_endure,Palin in 2012!,For time,,"Run 400m 10x Turkish Get up @ 35# (each hand) 40x Jumping Lunges (20x each leg) Run 400m 7x Turkish Get up (each hand) 30x Jumping Lunges (15x each leg) Run 400m 5x Turkish Get up (each hand) 20x Jumping Lunges (10x each leg) Run 400m 3x Turkish Get up each hand 10x Jumping lunges (5x each leg) then 10 Rounds (grind, not for time) 5x Pull up 10x Dip 15x Push up",35,,For time,
power_endure,SECRET SERVICE SNATCH TEST,,AMRAP,"Perform as many KB snatches as possible in 10 min, alternating left and right hand as desired, KB may be set down to rest if necessary, those are “Official” (Gentlemen’s rules). “Tier One” rules dictate that the KB may not be set down during the 10 min effort, only one transfer swing is allowed to change hands, and any rest must be taken with the KB held overhead in the locked-out position.",53 pounds,"Scoring: 100 – Lethargic, 150 – Good (Team Guy Standard), 200 – Really good, 250 – Ridiculous, 275 – Record",10 minutes,
power_endure,3 Mile Run,,,All-out effort,,,Less than 20 minutes,
power_endure,COUNTING DEAD BODIES LIKE SHEEP TO THE RHYTHM OF A WAR DRUM,,,5x Lunge + 5x Push Press for 400m,"45 pound bar, 2 x 25 pound dumbbells, or similar","do 5x lunges followed by 5x Push Press, continue doing this until you have traveled 400m",20 to 30 minutes,
power_endure,GET UP’S TILL YOU THROW UP,,"100, then 20",100x Sandbag Getups then Suicide sprint every 30 seconds for 10 minutes,85 - 95 pounds,,Time for get-ups + 10 minutes,
power_endure,Tabata Hell,5 x 8,Score is sum of all reps,"Tabata Squats (rest in bottom hold, thighs parallel to floor) Tabata Push-ups (rest locked out at top, aka Forward leaning rest) Tabata Ball Slam @ 20# ball (rest with ball overhead, both arms locked out) Tabata Sit-up (rest with legs held straight 6-12” above floor, head off floor) Tabata KB Swing @ 53# (rest without setting KB down or supporting it on your body)",,,One minute rest between movements,
power_endure,Cheech,,,"5k row, all-out effort",,,Less than 20 minutes,
power_endure,HE’LL RAISE YOUR TAXES...,3 FT then 10 -- 1 grind ladder,,"Run 400m uphill with sandbag, 15x Burpees. Then grind -- kettlebell Swings: x2 , Elevated push-up, Sit-up: x2, Dip, Pull-up",53,,,
power_endure,TEABAG YOUR BUDDY TONIGHT,20,,"2x Sandbag Clean and Squat, 3x Burpees",85 - 95,"Every minute, on the minute",,
power_endure,DRUNKEN LULLABY,,20-15-10-5,"Sandbag get-ups, push-ups, box jumps: 2x, sandbag halfmoons","85 for the SBGU, 35 for the SBHM",,,
